CHAMP;SEXE;ANNEE_1962_2019;AGE_ATTEINT_R;DECES
FE;E;1995;D98;2910
FE;E;1995;D99;2056
FE;E;1995;D100;3512
FE;E;1996;DEC;544604
FE;E;1996;D0;3211
FE;E;1996;D1;745
FE;E;1996;D2;278
FE;E;1996;D3;166
FE;E;1996;D4;157
FE;E;1996;D5;120
FE;E;1996;D6;118
FE;E;1996;D7;129
FE;E;1996;D8;120
FE;E;1996;D9;126
FE;E;1996;D10;99
FE;E;1996;D11;121
FE;E;1996;D12;134
FE;E;1996;D13;130
FE;E;1996;D14;181
FE;E;1996;D15;271
FE;E;1996;D16;304
FE;E;1996;D17;345
FE;E;1996;D18;439
FE;E;1996;D19;553
FE;E;1996;D20;532
FE;E;1996;D21;580
FE;E;1996;D22;706
FE;E;1996;D23;752
FE;E;1996;D24;722
FE;E;1996;D25;767
FE;E;1996;D26;740
FE;E;1996;D27;798
FE;E;1996;D28;843
FE;E;1996;D29;846
FE;E;1996;D30;940
FE;E;1996;D31;1041
FE;E;1996;D32;1053
FE;E;1996;D33;1105
FE;E;1996;D34;1246
FE;E;1996;D35;1235
FE;E;1996;D36;1385
FE;E;1996;D37;1457
FE;E;1996;D38;1491
FE;E;1996;D39;1542
FE;E;1996;D40;1705
FE;E;1996;D41;1907
FE;E;1996;D42;2041
FE;E;1996;D43;2228
FE;E;1996;D44;2301
FE;E;1996;D45;2471
FE;E;1996;D46;2823
FE;E;1996;D47;2842
FE;E;1996;D48;3122
FE;E;1996;D49;3271
FE;E;1996;D50;3587
FE;E;1996;D51;2839
FE;E;1996;D52;3043
FE;E;1996;D53;3141
FE;E;1996;D54;3204
FE;E;1996;D55;3011
FE;E;1996;D56;3485
FE;E;1996;D57;3912
FE;E;1996;D58;4290
FE;E;1996;D59;4555
FE;E;1996;D60;5107
FE;E;1996;D61;5455
FE;E;1996;D62;6065
FE;E;1996;D63;6436
FE;E;1996;D64;6965
FE;E;1996;D65;7676
FE;E;1996;D66;8423
FE;E;1996;D67;8321
FE;E;1996;D68;9196
FE;E;1996;D69;9507
FE;E;1996;D70;10419
FE;E;1996;D71;10938
FE;E;1996;D72;11302
FE;E;1996;D73;12389
FE;E;1996;D74;12986
FE;E;1996;D75;14414
FE;E;1996;D76;15832
FE;E;1996;D77;10056
FE;E;1996;D78;9635
FE;E;1996;D79;8856
FE;E;1996;D80;9025
FE;E;1996;D81;12077
FE;E;1996;D82;18363
FE;E;1996;D83;19586
FE;E;1996;D84;20270
FE;E;1996;D85;19433
FE;E;1996;D86;20097
FE;E;1996;D87;19668
FE;E;1996;D88;19217
FE;E;1996;D89;17581
FE;E;1996;D90;16573
FE;E;1996;D91;14938
FE;E;1996;D92;13149
FE;E;1996;D93;11124
FE;E;1996;D94;9577
FE;E;1996;D95;7667
FE;E;1996;D96;5643
FE;E;1996;D97;4254
FE;E;1996;D98;2985
FE;E;1996;D99;2192
FE;E;1996;D100;3901
FE;E;1997;DEC;539267
FE;E;1997;D0;3185
FE;E;1997;D1;687
FE;E;1997;D2;259
FE;E;1997;D3;179
FE;E;1997;D4;177
FE;E;1997;D5;119
FE;E;1997;D6;103
FE;E;1997;D7;123
FE;E;1997;D8;110
FE;E;1997;D9;124
FE;E;1997;D10;114
FE;E;1997;D11;109
FE;E;1997;D12;112
FE;E;1997;D13;137
FE;E;1997;D14;161
FE;E;1997;D15;249
FE;E;1997;D16;293
FE;E;1997;D17;390
FE;E;1997;D18;442
FE;E;1997;D19;541
FE;E;1997;D20;580
FE;E;1997;D21;537
FE;E;1997;D22;599
FE;E;1997;D23;673
FE;E;1997;D24;700
FE;E;1997;D25;709
FE;E;1997;D26;727
FE;E;1997;D27;740
FE;E;1997;D28;710
FE;E;1997;D29;712
FE;E;1997;D30;847
FE;E;1997;D31;869
FE;E;1997;D32;952
FE;E;1997;D33;922
FE;E;1997;D34;1049
FE;E;1997;D35;1058
FE;E;1997;D36;1200
FE;E;1997;D37;1267
FE;E;1997;D38;1366
FE;E;1997;D39;1504
FE;E;1997;D40;1585
FE;E;1997;D41;1722
FE;E;1997;D42;1912
FE;E;1997;D43;2115
FE;E;1997;D44;2220
FE;E;1997;D45;2436
FE;E;1997;D46;2638
FE;E;1997;D47;2971
FE;E;1997;D48;3086
FE;E;1997;D49;3368
FE;E;1997;D50;3577
FE;E;1997;D51;3675
FE;E;1997;D52;3011
FE;E;1997;D53;3216
FE;E;1997;D54;3318
FE;E;1997;D55;3352
FE;E;1997;D56;3163
FE;E;1997;D57;3572
FE;E;1997;D58;4081
FE;E;1997;D59;4429
FE;E;1997;D60;4663
FE;E;1997;D61;5172
FE;E;1997;D62;5634
FE;E;1997;D63;6226
FE;E;1997;D64;6540
FE;E;1997;D65;7405
FE;E;1997;D66;7815
FE;E;1997;D67;8675
FE;E;1997;D68;8795
FE;E;1997;D69;9541
FE;E;1997;D70;10031
FE;E;1997;D71;10695
FE;E;1997;D72;11356
FE;E;1997;D73;12030
FE;E;1997;D74;12639
FE;E;1997;D75;13643
FE;E;1997;D76;15042
FE;E;1997;D77;16524
FE;E;1997;D78;10608
FE;E;1997;D79;10040
FE;E;1997;D80;9334
FE;E;1997;D81;9333
FE;E;1997;D82;12254
FE;E;1997;D83;18865
FE;E;1997;D84;19697
FE;E;1997;D85;20296
FE;E;1997;D86;19244
FE;E;1997;D87;19798
FE;E;1997;D88;19160
FE;E;1997;D89;18437
FE;E;1997;D90;16783
FE;E;1997;D91;15172
FE;E;1997;D92;13433
FE;E;1997;D93;11483
FE;E;1997;D94;9698
FE;E;1997;D95;8080
FE;E;1997;D96;6280
FE;E;1997;D97;4511
